admin2,hc_cluster_id
ACEH BARAT,10
ACEH BARAT DAYA,10
ACEH BESAR,22
ACEH JAYA,22
ACEH SELATAN,10
ACEH SINGKIL,10
ACEH TAMIANG,22
ACEH TENGAH,15
ACEH TENGGARA,14
ACEH TIMUR,22
ACEH UTARA,22
AGAM,14
ALOR,20
ASAHAN,22
ASMAT,22
BADUNG,20
BALANGAN,22
BANDUNG,13
BANDUNG BARAT,13
BANGGAI,22
BANGGAI KEPULAUAN,23
BANGGAI LAUT,23
BANGKA,23
BANGKA BARAT,23
BANGKA SELATAN,23
BANGKA TENGAH,23
BANGKALAN,18
BANGLI,13
BANJAR,22
BANJARNEGARA,14
BANTAENG,20
BANTUL,20
BANYU ASIN,22
BANYUMAS,20
BANYUWANGI,20
BARITO KUALA,22
BARITO SELATAN,22
BARITO TIMUR,22
BARITO UTARA,22
BARRU,21
BATANG,21
BATANG HARI,22
BATU BARA,22
BEKASI,18
BELITUNG,23
BELITUNG TIMUR,23
BELU,17
BENER MERIAH,15
BENGKALIS,22
BENGKAYANG,22
BENGKULU SELATAN,9
BENGKULU TENGAH,9
BENGKULU UTARA,9
BERAU,22
BIAK NUMFOR,22
BIMA,18
BINTAN,23
BIREUEN,22
BLITAR,20
BLORA,18
BOALEMO,22
BOGOR,18
BOJONEGORO,18
BOLAANG MONGONDOW,14
BOLAANG MONGONDOW SELATAN,22
BOLAANG MONGONDOW TIMUR,14
BOLAANG MONGONDOW UTARA,22
BOMBANA,18
BONDOWOSO,13
BONE,18
BONE BOLANGO,22
BOVEN DIGOEL,22
BOYOLALI,18
BREBES,21
BULELENG,20
BULUKUMBA,18
BULUNGAN,22
BUNGO,22
BUOL,22
BURU,22
BURU SELATAN,14
BUTON,18
BUTON SELATAN,18
BUTON TENGAH,18
BUTON UTARA,18
CIAMIS,20
CIANJUR,14
CILACAP,20
CIREBON,18
DAIRI,15
DEIYAI,4
DELI SERDANG,22
DEMAK,18
DHARMASRAYA,22
DOGIYAI,4
DOMPU,18
DONGGALA,22
EMPAT LAWANG,20
ENDE,20
ENREKANG,14
FAKFAK,22
FLORES TIMUR,18
GARUT,13
GAYO LUES,15
GIANYAR,20
GORONTALO,22
GORONTALO UTARA,22
GOWA,21
GRESIK,18
GROBOGAN,18
GUNUNG KIDUL,20
GUNUNG MAS,22
HALMAHERA BARAT,22
HALMAHERA SELATAN,23
HALMAHERA TENGAH,23
HALMAHERA TIMUR,22
HALMAHERA UTARA,22
HULU SUNGAI SELATAN,22
HULU SUNGAI TENGAH,22
HULU SUNGAI UTARA,22
HUMBANG HASUNDUTAN,15
INDRAGIRI HILIR,22
INDRAGIRI HULU,22
INDRAMAYU,18
INTAN JAYA,1
JAYAPURA,22
JAYAWIJAYA,1
JEMBER,20
JEMBRANA,20
JENEPONTO,21
JEPARA,18
JOMBANG,18
KAIMANA,22
KAMPAR,22
KAPUAS,22
