admin2,hc_cluster_id
ACEH BARAT,15
ACEH BARAT DAYA,18
ACEH BESAR,41
ACEH JAYA,39
ACEH SELATAN,17
ACEH SINGKIL,16
ACEH TAMIANG,41
ACEH TENGAH,27
ACEH TENGGARA,24
ACEH TIMUR,41
ACEH UTARA,41
AGAM,24
ALOR,36
ASAHAN,40
ASMAT,39
BADUNG,36
BALANGAN,40
BANDUNG,22
BANDUNG BARAT,22
BANGGAI,41
BANGGAI KEPULAUAN,43
BANGGAI LAUT,43
BANGKA,43
BANGKA BARAT,43
BANGKA SELATAN,43
BANGKA TENGAH,43
BANGKALAN,30
BANGLI,21
BANJAR,40
BANJARNEGARA,23
BANTAENG,36
BANTUL,36
BANYU ASIN,40
BANYUMAS,36
BANYUWANGI,36
BARITO KUALA,40
BARITO SELATAN,40
BARITO TIMUR,40
BARITO UTARA,40
BARRU,38
BATANG,37
BATANG HARI,40
BATU BARA,40
BEKASI,33
BELITUNG,43
BELITUNG TIMUR,43
BELU,29
BENER MERIAH,27
BENGKALIS,40
BENGKAYANG,40
BENGKULU SELATAN,14
BENGKULU TENGAH,14
BENGKULU UTARA,14
BERAU,40
BIAK NUMFOR,41
BIMA,30
BINTAN,43
BIREUEN,41
BLITAR,36
BLORA,32
BOALEMO,41
BOGOR,33
BOJONEGORO,32
BOLAANG MONGONDOW,23
BOLAANG MONGONDOW SELATAN,41
BOLAANG MONGONDOW TIMUR,23
BOLAANG MONGONDOW UTARA,41
BOMBANA,30
BONDOWOSO,21
BONE,30
BONE BOLANGO,41
BOVEN DIGOEL,40
BOYOLALI,32
BREBES,37
BULELENG,36
BULUKUMBA,30
BULUNGAN,40
BUNGO,40
BUOL,41
BURU,41
BURU SELATAN,23
BUTON,30
BUTON SELATAN,30
BUTON TENGAH,30
BUTON UTARA,30
CIAMIS,36
CIANJUR,23
CILACAP,36
CIREBON,30
DAIRI,25
DEIYAI,7
DELI SERDANG,40
DEMAK,32
DHARMASRAYA,40
DOGIYAI,7
DOMPU,30
DONGGALA,41
EMPAT LAWANG,35
ENDE,36
