admin2,hc_cluster_id
ACEH BARAT,10
ACEH BARAT DAYA,10
ACEH BESAR,9
ACEH JAYA,10
ACEH SELATAN,10
ACEH SINGKIL,10
ACEH TAMIANG,9
ACEH TENGAH,15
ACEH TENGGARA,14
ACEH TIMUR,9
ACEH UTARA,9
AGAM,10
ALOR,7
ASAHAN,9
ASMAT,9
BADUNG,7
BALANGAN,9
BANDUNG,6
BANDUNG BARAT,6
BANGGAI,10
BANGGAI KEPULAUAN,13
BANGGAI LAUT,13
BANGKA,13
BANGKA BARAT,13
BANGKA SELATAN,13
BANGKA TENGAH,13
BANGKALAN,2
BANGLI,6
BANJAR,9
BANJARNEGARA,6
BANTAENG,8
BANTUL,6
BANYU ASIN,9
BANYUMAS,7
BANYUWANGI,7
BARITO KUALA,9
BARITO SELATAN,9
BARITO TIMUR,9
BARITO UTARA,9
BARRU,8
BATANG,8
BATANG HARI,9
BATU BARA,9
BEKASI,8
BELITUNG,13
BELITUNG TIMUR,13
BELU,5
BENER MERIAH,15
BENGKALIS,9
BENGKAYANG,9
BENGKULU SELATAN,10
BENGKULU TENGAH,10
BENGKULU UTARA,10
BERAU,9
BIAK NUMFOR,13
BIMA,2
BINTAN,13
BIREUEN,9
BLITAR,6
BLORA,3
BOALEMO,13
BOGOR,8
BOJONEGORO,3
BOLAANG MONGONDOW,10
BOLAANG MONGONDOW SELATAN,12
BOLAANG MONGONDOW TIMUR,10
BOLAANG MONGONDOW UTARA,13
BOMBANA,8
BONDOWOSO,6
BONE,8
BONE BOLANGO,13
BOVEN DIGOEL,11
BOYOLALI,3
BREBES,8
BULELENG,7
BULUKUMBA,8
BULUNGAN,9
BUNGO,9
BUOL,10
BURU,10
BURU SELATAN,10
BUTON,8
BUTON SELATAN,8
BUTON TENGAH,8
BUTON UTARA,8
CIAMIS,6
CIANJUR,6
CILACAP,7
CIREBON,2
DAIRI,15
DEIYAI,18
DELI SERDANG,10
DEMAK,3
DHARMASRAYA,9
DOGIYAI,18
DOMPU,2
DONGGALA,10
EMPAT LAWANG,10
ENDE,7
ENREKANG,10
FAKFAK,10
FLORES TIMUR,2
GARUT,6
GAYO LUES,15
GIANYAR,7
GORONTALO,13
GORONTALO UTARA,13
GOWA,8
GRESIK,2
GROBOGAN,3
GUNUNG KIDUL,6
GUNUNG MAS,9
HALMAHERA BARAT,13
HALMAHERA SELATAN,13
HALMAHERA TENGAH,13
HALMAHERA TIMUR,10
HALMAHERA UTARA,13
HULU SUNGAI SELATAN,9
HULU SUNGAI TENGAH,9
HULU SUNGAI UTARA,9
HUMBANG HASUNDUTAN,15
INDRAGIRI HILIR,9
INDRAGIRI HULU,9
INDRAMAYU,2
INTAN JAYA,19
JAYAPURA,10
JAYAWIJAYA,19
JEMBER,7
JEMBRANA,7
JENEPONTO,8
JEPARA,2
JOMBANG,3
KAIMANA,10
KAMPAR,9
KAPUAS,9
